Substance,PPT,Na+,K+,Mg2+,Ca2+,Sr+,Sum,Cl-,SO4 -2,TCO2,TB,Sum,PO4:P,NO3:N,NH4:N,SiO3:Si,DOP:P,DON:N,TOC:C,PH,TA
Actual seawater,35,470,10.2,53,10.3,0.09,607,550,28,1.9,0.42,608,0.2,0.2,0.2,5,0.2,10,50,8.25,2.3
Instant Ocean,29.65,462,9.4,52,9.4,0.19,594,521,23,1.9,0.44,569,0.05,1,10.2,4.2,0.1,2.9,29,8.35,2.3
Tropic Marin,32.64,442,9.1,46,9.1,0.08,561,497,21,1.1,0.36,541,1.2,2.2,0.55,3.2,0,5.5,32,8.9,1.5
Marine Mix,29.4,467,10.1,53,10.1,0.15,601,538,28,2.1,0.41,596,0.46,1.63,9.2,11.5,0.2,8.2,29,8.49,3.1
Reef Crystals,28.91,461,9.5,50,9.5,0.08,589,520,27,0.75,0.65,574,0.32,5,7.8,5.9,0.2,6.3,28,9.28,3.2
Rea Sea Salt,30.07,472,9.9,55,9.9,0.1,610,537,25,1.08,0.54,588,0.37,0.79,5.2,4.5,0.1,1.9,29,8.69,1.6
Kent ,28.85,460,10.1,57,10.1,0.1,605,531,24,2.52,0.54,582,0.16,2.05,11.9,4.1,0.1,2.4,28,8.08,2.7
Coralife,28.39,464,9.3,63,9.3,0.08,620,566,15,0.32,1.26,597,0.95,2.3,8.4,2.7,0.2,11.2,28,9.17,1.5
SeaChem Reef,29.54,504,10.7,37,10.7,0.21,609,516,37,0.12,4.9,595,0.57,18.4,0.7,11.3,0.1,3.1,22,8.81,2.2
