snailID,concentration,confct,time,status
G9,5,b,4,2
G9,5,b,4,2
G9,5,b,4,2
G9,5,b,8,2
G9,5,b,8,2
G9,5,b,12,2
G9,5,b,12,2
G9,5,b,12,2
G9,5,b,12,2
G9,5,b,12,2
G9,5,b,12,2
G9,5,b,24,2
G9,5,b,24,2
G9,5,b,24,2
G9,5,b,24,2
G9,5,b,24,2
G9,5,b,24,2
G9,5,b,24,2
G9,5,b,24,2
G9,5,b,24,2
G9,5,b,24,2
G9,5,b,24,1
G9,10,c,4,2
G9,10,c,4,2
G9,10,c,4,2
G9,10,c,8,2
G9,10,c,12,2
G9,10,c,12,2
G9,10,c,12,2
G9,10,c,12,2
G9,10,c,12,2
G9,10,c,24,2
G9,10,c,24,2
G9,10,c,24,2
G9,10,c,24,2
G9,10,c,24,2
G9,10,c,24,2
G9,10,c,24,2
G9,10,c,24,1
G9,10,c,24,1
G9,10,c,24,1
G9,10,c,24,1
G9,10,c,24,1
G9,15,d,12,2
G9,15,d,12,2
G9,15,d,12,2
G9,15,d,12,2
G9,15,d,12,2
G9,15,d,24,2
G9,15,d,24,2
G9,15,d,24,2
G9,15,d,24,2
G9,15,d,24,2
G9,15,d,24,2
G9,15,d,24,2
G9,15,d,24,2
G9,15,d,24,1
G9,15,d,24,1
G9,15,d,24,1
G10,1,a,4,2
G10,1,a,4,2
G10,1,a,4,2
G10,1,a,4,2
G10,1,a,4,2
G10,1,a,8,2
G10,1,a,8,2
G10,1,a,8,2
G10,1,a,8,2
G10,1,a,12,2
G10,1,a,12,2
G10,1,a,24,2
G10,1,a,24,2
G10,1,a,24,2
G10,1,a,24,2
G10,1,a,24,1
G10,1,a,24,1
G10,1,a,24,1
G10,1,a,24,1
G10,5,b,4,2
G10,5,b,4,2
G10,5,b,4,2
G10,5,b,8,2
G10,5,b,8,2
G10,5,b,12,2
G10,5,b,12,2
G10,5,b,12,2
G10,5,b,12,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,2
G10,5,b,24,1
G10,10,c,4,2
G10,10,c,4,2
G10,10,c,4,2
G10,10,c,4,2
G10,10,c,4,2
G10,10,c,4,2
G10,10,c,8,2
G10,10,c,8,2
G10,10,c,12,2
G10,10,c,12,2
G10,10,c,24,2
G10,10,c,24,2
G10,10,c,24,2
G10,10,c,24,2
G10,10,c,24,2
G10,10,c,24,2
G10,10,c,24,2
G10,10,c,24,2
G10,10,c,24,2
G10,10,c,24,1
G10,15,d,8,2
G10,15,d,8,2
G10,15,d,12,2
G10,15,d,12,2
G10,15,d,12,2
G10,15,d,12,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,2
G10,15,d,24,1
G10,15,d,24,1
G10,15,d,24,1
G10,15,d,24,1
G11,1,a,4,2
G11,1,a,8,2
G11,1,a,8,2
G11,1,a,8,2
G11,1,a,8,2
G11,1,a,12,2
G11,1,a,12,2
G11,1,a,12,2
G11,1,a,12,2
G11,1,a,12,2
G11,1,a,12,2
G11,1,a,24,2
G11,1,a,24,2
G11,1,a,24,2
G11,1,a,24,2
G11,1,a,24,1
G11,1,a,24,1
G11,1,a,24,1
G11,5,b,5,2
G11,5,b,5,2
G11,5,b,5,2
G11,5,b,8,2
G11,5,b,8,2
G11,5,b,12,2
G11,5,b,12,2
G11,5,b,12,2
G11,5,b,12,2
G11,5,b,12,2
G11,5,b,24,2
G11,5,b,24,2
G11,5,b,24,2
G11,5,b,24,2
G11,5,b,24,2
G11,5,b,24,2
G11,5,b,24,2
G11,5,b,24,2
G11,5,b,24,1
G11,5,b,24,1
G11,5,b,24,1
G11,10,c,4,2
G11,10,c,4,2
G11,10,c,8,2
G11,10,c,8,2
G11,10,c,12,2
G11,10,c,12,2
G11,10,c,12,2
G11,10,c,12,2
G11,10,c,24,2
G11,10,c,24,2
G11,10,c,24,2
G11,10,c,24,2
G11,10,c,24,2
G11,10,c,24,2
G11,10,c,24,2
G11,10,c,24,1
G11,10,c,24,1
G11,10,c,24,1
G11,10,c,24,1
G11,15,d,8,2
G11,15,d,8,2
G11,15,d,8,2
G11,15,d,8,2
G11,15,d,12,2
G11,15,d,12,2
G11,15,d,12,2
G11,15,d,24,2
G11,15,d,24,2
G11,15,d,24,2
G11,15,d,24,2
G11,15,d,24,2
G11,15,d,24,2
G11,15,d,24,2
G11,15,d,24,1
G11,15,d,24,1
G11,15,d,24,1
G11,15,d,24,1
G11,15,d,24,1
G11,15,d,24,1
G13,1,a,8,2
G13,1,a,8,2
G13,1,a,8,2
G13,1,a,8,2
G13,1,a,8,2
G13,1,a,8,2
G13,1,a,8,2
G13,1,a,8,2
G13,1,a,8,2
G13,1,a,12,2
G13,1,a,12,2
G13,1,a,12,2
G13,1,a,12,2
G13,1,a,12,2
G13,1,a,12,2
G13,1,a,12,2
